snapshot_ts,queried_stop_id,route,direction,eta,eta_seq,data_timestamp
2025-11-24T04:59:57.789760+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:50:58+08:00,2,2025-11-24T04:59:15+08:00
2025-11-24T04:59:57.789760+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:25:58+08:00,1,2025-11-24T04:59:15+08:00
2025-11-24T04:59:57.789760+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:50:58+08:00,2,2025-11-24T04:59:15+08:00
2025-11-24T04:59:57.789760+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:25:58+08:00,1,2025-11-24T04:59:15+08:00
2025-11-24T04:59:57.789760+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:50:58+08:00,2,2025-11-24T04:59:15+08:00
2025-11-24T05:00:27.940203+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:24:56+08:00,1,2025-11-24T05:00:15+08:00
2025-11-24T05:00:27.940203+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:49:56+08:00,2,2025-11-24T05:00:15+08:00
2025-11-24T05:00:27.940203+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:24:56+08:00,1,2025-11-24T05:00:15+08:00
2025-11-24T05:00:27.940203+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:49:56+08:00,2,2025-11-24T05:00:15+08:00
2025-11-24T05:00:27.940203+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:24:56+08:00,1,2025-11-24T05:00:15+08:00
2025-11-24T05:00:27.940203+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:49:56+08:00,2,2025-11-24T05:00:15+08:00
2025-11-24T05:00:27.940203+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:25:58+08:00,1,2025-11-24T05:00:15+08:00
2025-11-24T05:00:27.940203+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:50:58+08:00,2,2025-11-24T05:00:15+08:00
2025-11-24T05:00:27.940203+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:25:58+08:00,1,2025-11-24T05:00:15+08:00
2025-11-24T05:00:27.940203+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:50:58+08:00,2,2025-11-24T05:00:15+08:00
2025-11-24T05:00:27.940203+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:25:58+08:00,1,2025-11-24T05:00:15+08:00
2025-11-24T05:00:27.940203+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:50:58+08:00,2,2025-11-24T05:00:15+08:00
2025-11-24T05:00:58.471501+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:24:56+08:00,1,2025-11-24T05:00:15+08:00
2025-11-24T05:00:58.471501+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:49:56+08:00,2,2025-11-24T05:00:15+08:00
2025-11-24T05:00:58.471501+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:24:56+08:00,1,2025-11-24T05:00:15+08:00
2025-11-24T05:00:58.471501+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:49:56+08:00,2,2025-11-24T05:00:15+08:00
2025-11-24T05:00:58.471501+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:24:56+08:00,1,2025-11-24T05:00:15+08:00
2025-11-24T05:00:58.471501+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:49:56+08:00,2,2025-11-24T05:00:15+08:00
2025-11-24T05:00:58.471501+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:25:58+08:00,1,2025-11-24T05:00:15+08:00
2025-11-24T05:00:58.471501+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:50:58+08:00,2,2025-11-24T05:00:15+08:00
2025-11-24T05:00:58.471501+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:25:58+08:00,1,2025-11-24T05:00:15+08:00
2025-11-24T05:00:58.471501+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:50:58+08:00,2,2025-11-24T05:00:15+08:00
2025-11-24T05:00:58.471501+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:25:58+08:00,1,2025-11-24T05:00:15+08:00
2025-11-24T05:00:58.471501+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:50:58+08:00,2,2025-11-24T05:00:15+08:00
2025-11-24T05:01:28.641124+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:24:56+08:00,1,2025-11-24T05:01:14+08:00
2025-11-24T05:01:28.641124+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:49:56+08:00,2,2025-11-24T05:01:14+08:00
2025-11-24T05:01:28.641124+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:24:56+08:00,1,2025-11-24T05:01:14+08:00
2025-11-24T05:01:28.641124+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:49:56+08:00,2,2025-11-24T05:01:14+08:00
2025-11-24T05:01:28.641124+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:24:56+08:00,1,2025-11-24T05:01:14+08:00
2025-11-24T05:01:28.641124+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:49:56+08:00,2,2025-11-24T05:01:14+08:00
2025-11-24T05:01:28.641124+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:25:58+08:00,1,2025-11-24T05:01:14+08:00
2025-11-24T05:01:28.641124+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:50:58+08:00,2,2025-11-24T05:01:14+08:00
2025-11-24T05:01:28.641124+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:25:58+08:00,1,2025-11-24T05:01:14+08:00
2025-11-24T05:01:28.641124+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:50:58+08:00,2,2025-11-24T05:01:14+08:00
2025-11-24T05:01:28.641124+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:25:58+08:00,1,2025-11-24T05:01:14+08:00
2025-11-24T05:01:28.641124+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:50:58+08:00,2,2025-11-24T05:01:14+08:00
2025-11-24T05:01:58.817607+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:24:56+08:00,1,2025-11-24T05:01:14+08:00
2025-11-24T05:01:58.817607+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:49:56+08:00,2,2025-11-24T05:01:14+08:00
2025-11-24T05:01:58.817607+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:24:56+08:00,1,2025-11-24T05:01:14+08:00
2025-11-24T05:01:58.817607+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:49:56+08:00,2,2025-11-24T05:01:14+08:00
2025-11-24T05:01:58.817607+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:24:56+08:00,1,2025-11-24T05:01:14+08:00
2025-11-24T05:01:58.817607+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:49:56+08:00,2,2025-11-24T05:01:14+08:00
2025-11-24T05:01:58.817607+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:25:58+08:00,1,2025-11-24T05:01:14+08:00
2025-11-24T05:01:58.817607+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:50:58+08:00,2,2025-11-24T05:01:14+08:00
2025-11-24T05:01:58.817607+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:25:58+08:00,1,2025-11-24T05:01:14+08:00
2025-11-24T05:01:58.817607+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:50:58+08:00,2,2025-11-24T05:01:14+08:00
2025-11-24T05:01:58.817607+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:25:58+08:00,1,2025-11-24T05:01:14+08:00
2025-11-24T05:01:58.817607+08:00,B34F59A0270AEDA4,272A,O,2025-11-24T05:50:58+08:00,2,2025-11-24T05:01:14+08:00
2025-11-24T05:02:28.967541+08:00,3F24CFF9046300D9,272A,O,2025-11-24T05:24:56+08:00,1,2025-11-24T05:02:15+08:00
