Path,Filename,Rows,Dates,Min_DateTime,Max_DateTime,Has_ETA_Data,Columns
.venv/lib/python3.12/site-packages/matplotlib/mpl-data/sample_data/Stocks.csv,Stocks.csv,525,,,,No,# Data source: https://finance.yahoo.com
.venv/lib/python3.12/site-packages/matplotlib/mpl-data/sample_data/data_x_x2_x3.csv,data_x_x2_x3.csv,10,,,,No, 0   0    0
.venv/lib/python3.12/site-packages/matplotlib/mpl-data/sample_data/msft.csv,msft.csv,65,,,,No,Date; Open; High; Low; Close; Volume; Adj. Close*
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-arccos.csv,umath-validation-set-arccos.csv,1428,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-arccosh.csv,umath-validation-set-arccosh.csv,1428,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-arcsin.csv,umath-validation-set-arcsin.csv,1428,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-arcsinh.csv,umath-validation-set-arcsinh.csv,1428,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-arctan.csv,umath-validation-set-arctan.csv,1428,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-arctanh.csv,umath-validation-set-arctanh.csv,1428,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-cbrt.csv,umath-validation-set-cbrt.csv,1428,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-cos.csv,umath-validation-set-cos.csv,1374,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-cosh.csv,umath-validation-set-cosh.csv,1428,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-exp.csv,umath-validation-set-exp.csv,411,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-exp2.csv,umath-validation-set-exp2.csv,1428,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-expm1.csv,umath-validation-set-expm1.csv,1428,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-log.csv,umath-validation-set-log.csv,270,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-log10.csv,umath-validation-set-log10.csv,1628,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-log1p.csv,umath-validation-set-log1p.csv,1428,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-log2.csv,umath-validation-set-log2.csv,1628,,,,No,dtype; input; output; ulperrortol
.venv/lib/python3.12/site-packages/numpy/_core/tests/data/umath-validation-set-sin.csv,umath-validation-set-sin.csv,1369,,,,No,dtype; input; output; ulperrortol
