snapshot_ts,route,3F24CFF9046300D9,B34F59A0270AEDA4,eta_A,eta_B,delta_s
2025-11-03 22:44:09.621100+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:44:09.621100+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:44:39.759245+00:00,274,2025-11-04 07:09:15+08:00,2025-11-04 07:10:31+08:00,2025-11-04 07:09:15+08:00,2025-11-04 07:10:31+08:00,76.0
2025-11-03 22:44:39.759245+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:44:39.759245+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:45:10.428181+00:00,274,2025-11-04 07:09:15+08:00,2025-11-04 07:10:31+08:00,2025-11-04 07:09:15+08:00,2025-11-04 07:10:31+08:00,76.0
2025-11-03 22:45:10.428181+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:45:10.428181+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:45:40.528163+00:00,274,2025-11-04 07:08:56+08:00,2025-11-04 07:10:11+08:00,2025-11-04 07:08:56+08:00,2025-11-04 07:10:11+08:00,75.0
2025-11-03 22:45:40.528163+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:45:40.528163+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:46:10.722045+00:00,274,2025-11-04 07:08:56+08:00,2025-11-04 07:10:11+08:00,2025-11-04 07:08:56+08:00,2025-11-04 07:10:11+08:00,75.0
2025-11-03 22:46:10.722045+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:46:10.722045+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:46:40.812346+00:00,274,2025-11-04 07:09:39+08:00,2025-11-04 07:10:55+08:00,2025-11-04 07:09:39+08:00,2025-11-04 07:10:55+08:00,76.0
2025-11-03 22:46:40.812346+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:46:40.812346+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:47:12.620323+00:00,272A,2025-11-04 06:58:58+08:00,2025-11-04 07:00:30+08:00,2025-11-04 06:58:58+08:00,2025-11-04 07:00:30+08:00,92.0
2025-11-03 22:47:12.620323+00:00,274,2025-11-04 07:09:39+08:00,2025-11-04 07:10:55+08:00,2025-11-04 07:09:39+08:00,2025-11-04 07:10:55+08:00,76.0
2025-11-03 22:47:12.620323+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:47:12.620323+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:47:42.784870+00:00,272A,2025-11-04 06:59:28+08:00,2025-11-04 07:01:04+08:00,2025-11-04 06:59:28+08:00,2025-11-04 07:01:04+08:00,96.0
2025-11-03 22:47:42.784870+00:00,274,2025-11-04 07:09:38+08:00,2025-11-04 07:10:53+08:00,2025-11-04 07:09:38+08:00,2025-11-04 07:10:53+08:00,75.0
2025-11-03 22:47:42.784870+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:47:42.784870+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:48:13.094819+00:00,272A,2025-11-04 06:59:27+08:00,2025-11-04 07:01:04+08:00,2025-11-04 06:59:27+08:00,2025-11-04 07:01:04+08:00,97.0
2025-11-03 22:48:13.094819+00:00,274,2025-11-04 07:09:40+08:00,2025-11-04 07:10:53+08:00,2025-11-04 07:09:40+08:00,2025-11-04 07:10:53+08:00,73.0
2025-11-03 22:48:13.094819+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:48:13.094819+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:48:43.228138+00:00,272A,2025-11-04 06:59:27+08:00,2025-11-04 07:01:04+08:00,2025-11-04 06:59:27+08:00,2025-11-04 07:01:04+08:00,97.0
2025-11-03 22:48:43.228138+00:00,274,2025-11-04 07:09:40+08:00,2025-11-04 07:10:58+08:00,2025-11-04 07:09:40+08:00,2025-11-04 07:10:58+08:00,78.0
2025-11-03 22:48:43.228138+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:48:43.228138+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:49:13.365921+00:00,272A,2025-11-04 06:59:04+08:00,2025-11-04 07:01:04+08:00,2025-11-04 06:59:04+08:00,2025-11-04 07:01:04+08:00,120.0
2025-11-03 22:49:13.365921+00:00,274,2025-11-04 07:09:13+08:00,2025-11-04 07:10:58+08:00,2025-11-04 07:09:13+08:00,2025-11-04 07:10:58+08:00,105.0
2025-11-03 22:49:13.365921+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:49:13.365921+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:49:43.556454+00:00,272A,2025-11-04 06:59:04+08:00,2025-11-04 07:00:14+08:00,2025-11-04 06:59:04+08:00,2025-11-04 07:00:14+08:00,70.0
2025-11-03 22:49:43.556454+00:00,274,2025-11-04 07:09:13+08:00,2025-11-04 07:10:28+08:00,2025-11-04 07:09:13+08:00,2025-11-04 07:10:28+08:00,75.0
2025-11-03 22:49:43.556454+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:49:43.556454+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:50:14.180949+00:00,272A,2025-11-04 06:58:38+08:00,2025-11-04 07:00:14+08:00,2025-11-04 06:58:38+08:00,2025-11-04 07:00:14+08:00,96.0
2025-11-03 22:50:14.180949+00:00,274,2025-11-04 07:09:18+08:00,2025-11-04 07:10:28+08:00,2025-11-04 07:09:18+08:00,2025-11-04 07:10:28+08:00,70.0
2025-11-03 22:50:14.180949+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:50:14.180949+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:50:44.335692+00:00,272A,2025-11-04 06:58:38+08:00,2025-11-04 07:00:13+08:00,2025-11-04 06:58:38+08:00,2025-11-04 07:00:13+08:00,95.0
2025-11-03 22:50:44.335692+00:00,274,2025-11-04 07:09:18+08:00,2025-11-04 07:10:37+08:00,2025-11-04 07:09:18+08:00,2025-11-04 07:10:37+08:00,79.0
2025-11-03 22:50:44.335692+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:50:44.335692+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:51:14.462207+00:00,272A,2025-11-04 06:58:38+08:00,2025-11-04 07:00:13+08:00,2025-11-04 06:58:38+08:00,2025-11-04 07:00:13+08:00,95.0
2025-11-03 22:51:14.462207+00:00,274,2025-11-04 07:09:18+08:00,2025-11-04 07:10:37+08:00,2025-11-04 07:09:18+08:00,2025-11-04 07:10:37+08:00,79.0
2025-11-03 22:51:14.462207+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:51:14.462207+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:51:44.539187+00:00,272A,2025-11-04 06:58:57+08:00,2025-11-04 07:00:34+08:00,2025-11-04 06:58:57+08:00,2025-11-04 07:00:34+08:00,97.0
2025-11-03 22:51:44.539187+00:00,274,2025-11-04 07:09:33+08:00,2025-11-04 07:10:48+08:00,2025-11-04 07:09:33+08:00,2025-11-04 07:10:48+08:00,75.0
2025-11-03 22:51:44.539187+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:51:44.539187+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:52:14.742811+00:00,272A,2025-11-04 06:58:57+08:00,2025-11-04 07:00:34+08:00,2025-11-04 06:58:57+08:00,2025-11-04 07:00:34+08:00,97.0
2025-11-03 22:52:14.742811+00:00,274,2025-11-04 07:09:33+08:00,2025-11-04 07:10:48+08:00,2025-11-04 07:09:33+08:00,2025-11-04 07:10:48+08:00,75.0
2025-11-03 22:52:14.742811+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:52:14.742811+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:52:44.867900+00:00,272A,2025-11-04 06:58:54+08:00,2025-11-04 07:00:30+08:00,2025-11-04 06:58:54+08:00,2025-11-04 07:00:30+08:00,96.0
2025-11-03 22:52:44.867900+00:00,274,2025-11-04 07:09:30+08:00,2025-11-04 07:10:45+08:00,2025-11-04 07:09:30+08:00,2025-11-04 07:10:45+08:00,75.0
